cluster_id,original_households,sampled_households
1516,207,207
1517,497,497
1518,1007,1007
1519,265,265
1520,1096,1096
1521,4696,4696
1523,312,312
1524,1076,1076
1525,1046,1046
1526,361,361
1527,652,652
1528,2004,2004
1530,1601,1601
1531,535,535
1532,566,566
1533,1,1
1534,4230,4230
1535,2122,2122
1536,434,434
1537,721,721
1538,7,7
1539,790,790
1540,1043,1043
1541,1830,1830
1542,2951,2951
1543,1102,1102
1544,3485,3485
1545,2033,2033
1546,1201,1201
1547,1020,1020
1548,1303,1303
1549,585,585
1550,1051,1051
1551,721,721
1553,732,732
1554,3962,3962
1555,2407,2407
1556,2,2
1557,938,938
1558,467,467
1560,291,291
1561,1105,1105
1562,601,601
1563,189,189
1564,341,341
1565,2356,2356
1567,531,531
1568,1381,1381
1569,498,498
1570,2348,2348
1571,603,603
1573,1392,1392
1574,1007,1007
1576,559,559
1579,229,229
1580,1269,1269
1581,3193,3193
1582,1313,1313
1583,2195,2195
1584,419,419
1585,2002,2002
1586,686,686
1587,2,2
1588,1213,1213
1589,1331,1331
1591,1362,1362
1592,1,1
1593,171,171
1594,163,163
1595,1155,1155
1596,969,969
1597,28,28
1598,642,642
1599,1664,1664
1600,66,66
1601,775,775
1602,47,47
1603,447,447
1604,320,320
1605,852,852
1606,26,26
1607,1121,1121
1608,743,743
1609,1049,1049
1610,2592,2592
1611,654,654
1612,1845,1845
1613,1405,1405
1614,699,699
1615,15,15
1616,1164,1164
1617,317,317
1618,1620,1620
1619,743,743
1620,1173,1173
1621,218,218
1622,1486,1486
1623,515,515
1624,976,976
1625,708,708
1626,1288,1288
1627,1602,1602
1628,2309,2309
1629,649,649
1630,111,111
1631,551,551
1632,897,897
1633,2633,2633
1634,940,940
1635,825,825
1636,24,24
1637,1459,1459
1638,534,534
1639,1133,1133
1640,826,826
1641,683,683
1642,2285,2285
1643,1043,1043
1644,328,328
1645,1703,1703
1646,1551,1551
1647,1499,1499
1648,690,690
1649,2464,2464
1650,2099,2099
1651,781,781
1652,1454,1454
1653,464,464
1654,540,540
1655,791,791
1656,386,386
1657,647,647
1658,1878,1878
1659,2312,2312
1660,494,494
1661,636,636
1662,331,331
1663,1327,1327
1664,1476,1476
1665,2990,2990
1666,1311,1311
1667,1054,1054
1668,815,815
1670,419,419
1671,619,619
1672,2404,2404
1674,1309,1309
1675,1160,1160
1676,566,566
1677,3,3
1678,1984,1984
1679,173,173
1680,45,45
1681,728,728
1682,813,813
1683,338,338
1684,916,916
1685,220,220
1686,1368,1368
1687,953,953
1688,1410,1410
1689,523,523
1690,254,254
1693,1412,1412
1694,279,279
1696,1243,1243
1697,471,471
1698,337,337
1700,2581,2581
1701,1014,1014
1702,967,967
1703,358,358
1704,411,411
1705,647,647
1706,818,818
1707,1254,1254
1708,1559,1559
1709,414,414
1710,1778,1778
1711,463,463
1712,451,451
1713,1529,1529
1714,116,116
1715,856,856
1716,122,122
1717,1305,1305
1718,191,191
1719,346,346
1720,1666,1666
1721,627,627
1722,90,90
1723,1987,1987
1724,700,700
1725,236,236
1726,620,620
1727,1839,1839
1728,9,9
1729,1838,1838
1730,657,657
1731,864,864
1732,296,296
1733,1177,1177
1734,550,550
1735,2260,2260
1736,87,87
1737,4295,4295
1738,21,21
1739,694,694
1740,436,436
1741,1266,1266
1742,3071,3071
1743,322,322
1744,137,137
1745,2096,2096
1746,510,510
1747,1157,1157
1748,1887,1887
1750,767,767
1751,1658,1658
1752,1494,1494
1753,669,669
1754,1041,1041
1755,880,880
1756,932,932
1757,1495,1495
1759,271,271
1760,232,232
1761,1727,1727
1762,722,722
1763,1818,1818
1764,844,844
1766,997,997
1767,1164,1164
1768,779,779
1769,1307,1307
1770,97,97
1771,671,671
1773,1229,1229
1774,1672,1672
1776,844,844
1777,477,477
1778,3172,3172
1779,771,771
1780,1003,1003
1781,2589,2589
1782,62,62
1783,1,1
1784,355,355
1785,564,564
1786,770,770
1787,1247,1247
1788,452,452
1789,1829,1829
1790,189,189
1791,1039,1039
1792,610,610
1793,754,754
1794,246,246
1795,363,363
1796,2036,2036
1797,576,576
1798,826,826
1799,154,154
1800,375,375
1801,1283,1283
1802,263,263
1803,1989,1989
1805,754,754
1806,1571,1571
1807,951,951
1808,561,561
1809,940,940
1810,1548,1548
1811,1240,1240
1812,979,979
1813,475,475
1815,2,2
1816,1696,1696
1817,773,773
1818,153,153
1819,749,749
1820,2816,2816
1821,4299,4299
1822,852,852
1823,2211,2211
1825,589,589
1826,429,429
1827,3,3
1828,474,474
1829,1673,1673
1830,1533,1533
1831,847,847
1832,191,191
1833,621,621
1834,1705,1705
1835,1331,1331
1836,344,344
1838,488,488
1839,1481,1481
1840,982,982
1841,500,500
1842,35,35
1843,958,958
1844,75,75
1845,1670,1670
1846,15,15
1847,40,40
1848,1513,1513
1849,1276,1276
1850,2378,2378
1851,1029,1029
1852,1339,1339
1853,686,686
1854,470,470
1855,368,368
1856,154,154
1858,1,1
1860,49,49
1861,26,26
1862,890,890
1863,2572,2572
1864,1130,1130
1865,632,632
1866,1388,1388
1867,2069,2069
1868,1250,1250
1870,5130,5130
1871,1083,1083
1873,1127,1127
1874,1003,1003
1875,691,691
1876,1435,1435
1877,976,976
1879,1037,1037
1880,1506,1506
1881,103,103
1882,1994,1994
1883,1051,1051
1884,1954,1954
1885,689,689
1886,2212,2212
1888,460,460
1889,1469,1469
1890,267,267
1891,688,688
1892,397,397
1893,1155,1155
1894,991,991
1895,2,2
1896,989,989
1897,139,139
1898,1021,1021
1899,1490,1490
1900,841,841
1902,2064,2064
1903,490,490
1904,965,965
1905,668,668
1906,3151,3151
1907,2906,2906
1908,253,253
1909,2508,2508
1910,490,490
1911,610,610
1912,608,608
1913,894,894
1914,169,169
1915,1164,1164
1916,1408,1408
1917,2169,2169
1918,2614,2614
1919,2131,2131
1920,799,799
1921,426,426
1922,1190,1190
1924,3008,3008
1925,2804,2804
1926,298,298
1927,1015,1015
1928,176,176
1929,288,288
1930,851,851
1931,12,12
1932,1716,1716
1933,651,651
1934,745,745
1935,2270,2270
1936,2182,2182
1937,5,5
1938,1287,1287
1939,581,581
1940,331,331
1941,1197,1197
1942,151,151
1943,546,546
1944,458,458
1946,2939,2939
1947,2755,2755
1948,1978,1978
1949,1963,1963
1950,2727,2727
1951,1313,1313
1952,709,709
1953,1711,1711
1954,453,453
1955,987,987
1956,1448,1448
1957,2868,2868
1958,800,800
1959,208,208
1960,850,850
1961,1986,1986
1962,1069,1069
1963,2599,2599
1964,4136,4136
1965,4,4
1967,2561,2561
1968,921,921
1969,1709,1709
1970,1825,1825
1971,2098,2098
1972,1635,1635
1973,901,901
1974,66,66
1975,1176,1176
1976,189,189
1977,527,527
1978,1617,1617
1979,395,395
1980,757,757
1981,16,16
1982,150,150
1983,13,13
1984,185,185
1985,961,961
1986,2082,2082
1987,895,895
1988,1660,1660
1989,71,71
1990,2506,2506
1991,3055,3055
1992,52,52
1993,686,686
1994,301,301
1995,1009,1009
1996,1268,1268
1998,2978,2978
1999,2080,2080
2000,1021,1021
