mgra,sampled_households,sample_rate
1914,169,1.0
1915,1164,1.0
1916,1408,1.0
1917,2169,1.0
1918,2614,1.0
1919,2131,1.0
1920,799,1.0
1921,426,1.0
1922,1190,1.0
1924,3008,1.0
1925,2804,1.0
1926,298,1.0
1927,1015,1.0
1928,176,1.0
1929,288,1.0
1930,851,1.0
1931,12,1.0
1932,1716,1.0
1933,651,1.0
1934,745,1.0
1935,2270,1.0
1936,2182,1.0
1937,5,1.0
1938,1287,1.0
1939,581,1.0
1940,331,1.0
1941,1197,1.0
1942,151,1.0
1943,546,1.0
1944,458,1.0
1946,2939,1.0
1947,2755,1.0
1948,1978,1.0
1949,1963,1.0
1950,2727,1.0
1951,1313,1.0
1952,709,1.0
1953,1711,1.0
1954,453,1.0
1955,987,1.0
1956,1448,1.0
1957,2868,1.0
1958,800,1.0
1959,208,1.0
1960,850,1.0
1961,1986,1.0
1962,1069,1.0
1963,2599,1.0
1964,4136,1.0
1965,4,1.0
1967,2561,1.0
1968,921,1.0
1969,1709,1.0
1970,1825,1.0
1971,2098,1.0
1972,1635,1.0
1973,901,1.0
1974,66,1.0
1975,1176,1.0
1976,189,1.0
1977,527,1.0
1978,1617,1.0
1979,395,1.0
1980,757,1.0
1981,16,1.0
1982,150,1.0
1983,13,1.0
1984,185,1.0
1985,961,1.0
1986,2082,1.0
1987,895,1.0
1988,1660,1.0
1989,71,1.0
1990,2506,1.0
1991,3055,1.0
1992,52,1.0
1993,686,1.0
1994,301,1.0
1995,1009,1.0
1996,1268,1.0
1998,2978,1.0
1999,2080,1.0
2000,1021,1.0
